multipleName,caseRef,multipleRef
PT-Multiple-0003,PT-Multiple-0003-20200801/5,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/8,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/11,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/15,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/20,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/24,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/31,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/37,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/43,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/51,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/58,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/66,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/75,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/85,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/95,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/106,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/118,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/129,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/140,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/152,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/166,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/178,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/192,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/205,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/221,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/236,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/252,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/270,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/287,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/305,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/323,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/342,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/361,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/378,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/399,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/419,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/441,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/462,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/483,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/505,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/528,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/552,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/575,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/598,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/625,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/646,0003
PT-Multiple-0003,PT-Multiple-0003-20200801/670,0003
